acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genre
0.889,0.448,0.295,0.92,7,0.0977,-19.597,1,0.0359,139.87,0.0693,ambient
0.804,0.063,0.173,0.836,6,0.0863,-26.199,1,0.053,68.963,0.112,ambient
0.993,0.528,0.00779,0.959,1,0.151,-23.281,1,0.091,131.447,0.48,ambient
0.97,0.109,0.119,0.95,4,0.265,-25.935,1,0.0346,68.943,0.0503,ambient
0.323,0.414,0.486,0.861,10,0.121,-9.668,0,0.0721,135.661,0.432,ambient
0.176,0.717,0.561,0.906,1,0.222,-9.087,1,0.139,129.013,0.0675,ambient
0.994,0.335,0.00532,0.912,1,0.0621,-31.646,1,0.0376,65.832,0.0397,ambient
0.912,0.115,0.0858,0.9,10,0.0906,-20.432,0,0.0447,89.296,0.0296,ambient
0.908,0.116,0.0123,0.318,4,0.0944,-32.634,0,0.0484,79.502,0.0385,ambient
0.943,0.0864,0.00922,0.531,5,0.106,-32.924,0,0.0396,85.284,0.0301,ambient
0.929,0.153,0.0136,0.922,0,0.114,-22.72,1,0.0382,105.597,0.0316,ambient
0.92,0.0601,0.00757,0.658,8,0.0614,-42.212,0,0.0455,57.624,0.0305,ambient
0.988,0.166,0.00225,0.946,6,0.108,-37.609,1,0.0507,69.327,0.0541,ambient
0.972,0.142,0.0356,0.925,6,0.098,-28.69,1,0.0411,69.138,0.253,ambient
0.989,0.433,0.0476,0.83,2,0.0754,-27.66,0,0.0347,132.044,0.42,ambient
0.395,0.542,0.722,0.915,1,0.0694,-11.102,1,0.0367,100.01,0.0405,ambient
0.171,0.548,0.532,0.838,7,0.079,-12.246,1,0.0313,99.994,0.038,ambient
0.839,0.327,0.373,0.934,5,0.0871,-15.461,1,0.0774,65.422,0.0513,ambient
0.773,0.541,0.421,0.749,9,0.118,-11.792,0,0.0337,90.002,0.154,ambient
0.761,0.065,0.172,0.72,10,0.383,-22.823,1,0.0412,52.952,0.0357,ambient
0.827,0.165,0.146,0.887,6,0.109,-21.357,1,0.0362,134.508,0.0577,ambient
0.853,0.295,0.264,0.926,7,0.0962,-12.203,1,0.0432,143.191,0.0736,ambient
0.705,0.296,0.463,0.0482,5,0.0954,-11.412,0,0.0449,123.943,0.0629,ambient
0.818,0.114,0.198,0.917,3,0.108,-14.357,1,0.0313,89.535,0.0378,ambient
0.892,0.0642,0.158,0.872,3,0.0929,-16.851,1,0.0324,54.961,0.0298,ambient
0.0302,0.314,0.684,0.22,11,0.219,-6.447,1,0.0327,139.872,0.175,ambient
0.554,0.203,0.467,0.698,9,0.108,-12.296,1,0.0452,135.073,0.0591,ambient
0.487,0.134,0.424,0.902,3,0.201,-9.322,1,0.0393,89.41,0.0995,ambient
0.959,0.319,0.0319,0.583,2,0.134,-19.446,1,0.0452,132.376,0.0812,ambient
0.713,0.161,0.246,0.967,3,0.0967,-13.514,1,0.0369,95.099,0.0368,ambient
0.957,0.247,0.298,0.9,0,0.0943,-15.661,0,0.0395,97.784,0.157,classical
0.764,0.491,0.142,0.74,4,0.248,-17.265,1,0.0361,112.295,0.234,classical
0.994,0.335,0.00532,0.912,1,0.0621,-31.646,1,0.0376,65.832,0.0397,classical
0.993,0.286,0.0144,0.912,1,0.102,-26.525,1,0.041,64.28,0.0365,classical
0.944,0.234,0.227,0.869,11,0.0854,-18.535,1,0.0373,101.636,0.0703,classical
0.984,0.67,0.013,0.923,6,0.113,-24.009,1,0.468,134.496,0.394,classical
0.97,0.426,0.144,0.972,0,0.0677,-19.429,1,0.0355,131.752,0.292,classical
0.924,0.168,0.0698,0.934,2,0.126,-27.22,1,0.0471,112.654,0.047,classical
0.957,0.247,0.298,0.9,0,0.0943,-15.661,0,0.0395,97.784,0.157,classical
0.982,0.137,0.0311,0.972,5,0.0908,-28.208,1,0.0381,179.223,0.063,classical
0.961,0.069,0.101,0.795,2,0.444,-23.487,0,0.0407,74.782,0.0707,classical
0.963,0.137,0.0262,0.903,4,0.234,-21.686,1,0.0394,74.988,0.0355,classical
0.922,0.264,0.157,0.937,2,0.308,-14.398,1,0.0309,95.615,0.122,classical
0.912,0.115,0.0858,0.9,10,0.0906,-20.432,0,0.0447,89.296,0.0296,classical
0.974,0.398,0.0575,0.922,5,0.0628,-22.472,1,0.036,109.207,0.209,classical
